page,plate,subindustry,company,rev_2q26,rev_2026,rev_yoy_2q26,rev_yoy_2026,np_2q26,np_2026,np_yoy_2q26,np_yoy_2026,beat,logic,row_y
14,食品饮料,调味品,中炬高新,1237,4813,20%,15%,121,682,60%,27%,,,0.71745
14,食品饮料,调味品,干禾味业,526,2901,8%,13%,38,493,200%,42%,,,0.74038
14,食品饮料,调味品,天味食品,824,4025,10%,17%,138,695,20%,22%,,,0.76202
14,食品饮料,调味品,安琪酵母,4721,19217,15%,15%,507,1858,18%,20%,,,0.78486
14,食品饮料,零食,宝立食品,818,3333,15%,14%,67,295,15%,12%,,,0.80643
14,食品饮料,零食,洽洽食品,1217,7435,3%,13%,80,657,600%,106%,,,0.83058
14,食品饮料,零食,盐津铺子,1487,6412,6%,11%,218,863,12%,15%,,,0.85216
14,食品饮料,零食,劲仔食品,608,2922,15%,20%,51,298,15%,23%,,,0.8738
14,食品饮料,软饮,万辰集团,17054,68803,45%,34%,616,2694,140%,100%,,,0.89784
14,食品饮料,软饮,百润股份,827,3343,10%,14%,224,760,8%,19%,,,0.917
14,食品饮料,软饮,东鹏饮料,6595,24599,12%,18%,1562,5217,12%,18%,,,0.94111
14,食品饮料,速冻食品,安井食品,4725,18377,18%,13%,374,1829,33%,35%,,,0.96394
15,农林牧渔,生猪养殖,牧原股份,27045,118582,-33%,-18%,-4798,-3186,由盈转亏,由盈转亏,,,0.13231
15,农林牧渔,生猪养殖,温氏股份,20431,98980,-20%,-5%,-2628,-2162,由盈转亏,由盈转亏,,,0.15457
15,农林牧渔,牧业,现代牧业,3580,16789,/,8%,40,940,扭亏为盈,扭亏为盈,,,0.19775
15,农林牧渔,牧业,优然牧业,6254,21391,,4%,220,1450,扭亏为盈扭亏为盈,,,,0.22131
15,家电,白色家电,美的集团,128859,489513,4%,7%,13591,48212,0%,9%,,高股息+业绩稳健的白电龙头，DTC+海外研产销体系推进下C端高质量增,0.39914
15,家电,白色家电,海尔智家,77376,319358,0%,4%,5892,22160,-10%,6%,,全球OBM发展领先，国内推进数字变革增强竞争力，海外本土产能优势强,0.45801
15,家电,黑色家电,海信视像,14714,61999,6%,7%,594,2735,18%,13%,,作为内销龙头年初以来韧性凸现，26年体育赛事拉动下海外出货有望持续,0.51874
15,家电,黑色家电,TCL电子,32369,128574,10%,14%,1068,2964,15%,19%,,结构优化+费效提升逻辑持续兑现，盈利中枢有望继续提升，与索尼合作,0.56674
15,家电,小家电,苏泊尔,5862,24098,3%,5%,456,2303,3%,7%,,小家电龙头，近年渠道变革效果显著，持续推进品类扩张，有望随着新兴,0.62867
15,家电,小家电,石头科技,5146,28115,15%,50%,431,2388,5%,50%,,强品牌势能+份额持续提升的全球扫地机龙头，有望充分受益于全球扫地 机行业的成长,0.68501
15,家电,小家电,欧圣电气,423,2897,20%,40%,64,320,20%,40%,,马来产能利用率提升，主业盈利能力有望迎来修复，受益于养老经济和养,0.73536
15,家电,电池,安孚科技,1082,5013,3%,5%,60,384,69%,70%,,26年南孚股权回收有望继续增厚利润，易缆微作为第二曲线业务技术稀缺,0.78806
15,家电,消费电子,绿联科技,2797,12357,38%,38%,176,987,42%,45%,,海外渠道突破带动3C主业高增长，NAS行业需求加速释放，公司作为赛道 龙头有望充分受益,0.84441
